,time,value,index_sec,RRI,hf,lf/hf,sdnn,rmssd
320,00:51:49,62,3109,967.74,2187.184569509408,6.763543313966996,45.62536575598432,23.229880124792828
322,00:51:59,60,3119,1000.0,1970.2955956044477,6.989226930590168,50.53426968313842,24.663764133329074
324,00:52:24,60,3144,1000.0,1764.9702257623742,7.5905895927965945,56.66034235652995,24.650704382037688
326,00:52:39,63,3159,952.38,1572.623566575377,8.62726784038017,60.38962682380449,23.892371039257505
328,00:52:54,65,3174,923.08,1407.2838717532259,9.499167261749093,61.344290941058425,23.915289192122618
330,00:53:14,67,3194,895.52,1309.5127055789671,10.736742199232449,60.55598604529834,23.814855336404573
332,00:53:24,68,3204,882.35,1306.32314603417,11.80128007710271,59.726482494649495,24.04059721150276
334,00:53:40,66,3220,909.09,1393.6188659517793,12.981724007428555,59.5741352245679,23.962309051968273
336,00:54:00,66,3240,909.09,1534.627341986121,13.742577886912253,59.85597797161763,21.813800209771713
338,00:54:10,65,3250,923.08,1715.7211406807176,14.832866682377144,55.93239866525463,20.6634410967579
340,00:54:25,64,3265,937.5,1894.3632124086264,16.76925846175386,51.108250701779234,20.072647395632384
342,00:54:40,65,3280,923.08,2056.12060851959,17.833693119135916,50.17955044291509,18.950084055599476
344,00:54:55,76,3295,789.47,2159.069211295881,18.83052249515878,49.673644193980806,19.166209157509147
346,00:55:05,75,3305,800.0,2179.3242763755475,19.036135913266016,54.67175229326681,25.511313896675208
348,00:55:15,69,3315,869.57,2110.032151851712,19.09420890481665,56.5726546346215,25.540874283854755
350,00:55:25,69,3325,869.57,1938.6194346449558,18.623673635915544,55.538779221259034,25.71928530761875
352,00:55:40,69,3340,869.57,1724.8259032657031,16.12967265366347,55.52231471384881,25.499460178359755
354,00:55:55,69,3355,869.57,1509.7668007730074,12.727848999804921,55.35240341775999,25.510049240346394
356,00:56:15,69,3375,869.57,1329.7471764977277,9.523855408363339,54.68174442076585,25.526915007417525
358,00:56:40,69,3400,869.57,1203.4110745817554,6.916152335406329,54.21063380322109,25.595251592465985
360,00:56:50,69,3410,869.57,1146.6598628468835,5.241705684647161,53.28744093755552,25.61206125310208
362,00:57:15,70,3435,857.14,1163.893825571671,4.309007023166223,52.14406214850295,25.67705034239163
